trip_name,counts
Yerba Buena Center of the Arts (3rd @ Howard) - Spear at Folsom,188
2nd at South Park - 2nd at South Park,187
Powell Street BART - San Francisco City Hall,187
5th at Howard - 2nd at Folsom,186
Spear at Folsom - Steuart at Market,185
2nd at South Park - Yerba Buena Center of the Arts (3rd @ Howard),185
Civic Center BART (7th at Market) - Powell at Post (Union Square),185
Market at 4th - Spear at Folsom,183
5th at Howard - Embarcadero at Sansome,181
Market at 4th - Embarcadero at Vallejo,181
Townsend at 7th - Embarcadero at Bryant,181
Washington at Kearny - Market at 4th,181
Powell at Post (Union Square) - Howard at 2nd,181
Davis at Jackson - Mechanics Plaza (Market at Battery),180
Market at Sansome - Market at Sansome,180
Palo Alto Caltrain Station - Palo Alto Caltrain Station,180
Embarcadero at Folsom - 2nd at South Park,179
Broadway St at Battery St - Commercial at Montgomery,179
SJSU - San Salvador at 9th - Paseo de San Antonio,179
San Jose Diridon Caltrain Station - San Jose Civic Center,179
Market at 4th - Broadway St at Battery St,178
Redwood City Caltrain Station - Redwood City Medical Center,178
Mechanics Plaza (Market at Battery) - Market at 4th,178
Embarcadero at Sansome - Washington at Kearny,177
Powell at Post (Union Square) - Steuart at Market,176
Civic Center BART (7th at Market) - Steuart at Market,176
2nd at South Park - Market at 10th,174
Mountain View Caltrain Station - San Antonio Shopping Center,173
Yerba Buena Center of the Arts (3rd @ Howard) - Embarcadero at Sansome,173
Beale at Market - Market at Sansome,172
Market at Sansome - South Van Ness at Market,172
Embarcadero at Bryant - Davis at Jackson,172
Powell at Post (Union Square) - Commercial at Montgomery,172
2nd at South Park - Temporary Transbay Terminal (Howard at Beale),171
Powell Street BART - Commercial at Montgomery,171
Embarcadero at Sansome - Civic Center BART (7th at Market),171
Harry Bridges Plaza (Ferry Building) - Beale at Market,171
Clay at Battery - San Francisco Caltrain (Townsend at 4th),170
Japantown - San Pedro Square,169
Howard at 2nd - Market at 4th,169
Yerba Buena Center of the Arts (3rd @ Howard) - Yerba Buena Center of the Arts (3rd @ Howard),169
Davis at Jackson - Broadway St at Battery St,168
Embarcadero at Bryant - Clay at Battery,168
Yerba Buena Center of the Arts (3rd @ Howard) - Embarcadero at Folsom,168
San Jose Civic Center - San Jose Civic Center,167
Commercial at Montgomery - Temporary Transbay Terminal (Howard at Beale),166
Harry Bridges Plaza (Ferry Building) - Davis at Jackson,166
